#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:07
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,falling,gcc_50,2021-11-03,2021-10-31,2021-10-24,2021-11-04,2021-11-01,2021-10-26,2021-11-01,2021-10-30,2021-10-23,0.31058,0.32469,0.35265,0.30347,0.39741
harvardbarn,DB,1000,falling,gcc_50,2020-10-23,2020-10-20,2020-10-14,2020-10-24,2020-10-21,2020-10-16,2020-10-21,2020-10-18,2020-10-13,0.3111,0.3216,0.35243,0.30343,0.39515
harvardbarn,DB,1000,falling,gcc_50,2019-10-24,2019-10-22,2019-10-15,2019-10-25,2019-10-23,2019-10-17,2019-10-23,2019-10-20,2019-10-14,0.298,0.30902,0.33853,0.29153,0.38063
harvardbarn,DB,1000,falling,gcc_50,2018-11-02,2018-10-30,2018-10-20,2018-11-03,2018-10-31,2018-10-23,2018-10-31,2018-10-28,2018-10-17,0.30529,0.31863,0.34321,0.30065,0.38443
harvardbarn,DB,1000,falling,gcc_50,2017-11-05,2017-11-03,2017-10-27,2017-11-06,2017-11-04,2017-10-29,2017-11-04,2017-11-01,2017-10-26,0.30257,0.31237,0.34053,0.29537,0.37949
harvardbarn,DB,1000,falling,gcc_50,2016-11-03,2016-11-01,2016-10-26,2016-11-04,2016-11-02,2016-10-28,2016-11-02,2016-10-30,2016-10-25,0.29363,0.30363,0.33251,0.28539,0.37672
harvardbarn,DB,1000,falling,gcc_50,2015-10-28,2015-10-25,2015-10-18,2015-10-29,2015-10-26,2015-10-20,2015-10-26,2015-10-24,2015-10-17,0.29623,0.31085,0.33911,0.29096,0.38257
harvardbarn,DB,1000,falling,gcc_50,2014-10-26,2014-10-23,2014-10-17,2014-10-27,2014-10-24,2014-10-19,2014-10-24,2014-10-21,2014-10-16,0.2987,0.31198,0.33674,0.29224,0.37914
harvardbarn,DB,1000,falling,gcc_50,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-14,2013-10-21,2013-10-18,2013-10-11,0.29496,0.30842,0.33099,0.28821,0.36925
harvardbarn,DB,1000,falling,gcc_50,2012-10-19,2012-10-17,2012-10-12,2012-10-20,2012-10-18,2012-10-14,2012-10-18,2012-10-16,2012-10-11,0.29734,0.3071,0.33207,0.28973,0.36968
