#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:34:48
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00372
# Spline RMSE gcc_75: 0.00403
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_mean,2009-04-24,2009-05-02,2009-05-09,2009-04-19,2009-04-30,2009-05-07,2009-04-27,2009-05-04,2009-05-10,0.37077,0.38424,0.40819,0.36237,0.45103
harvard,DB,1000,rising,gcc_mean,2010-04-17,2010-04-25,2010-05-02,2010-04-06,2010-04-24,2010-05-01,2010-04-21,2010-04-27,2010-05-03,0.37144,0.38575,0.41059,0.36323,0.45558
harvard,DB,1000,rising,gcc_mean,2011-04-30,2011-05-06,2011-05-14,2011-04-27,2011-05-05,2011-05-12,2011-05-03,2011-05-08,2011-05-15,0.37318,0.38573,0.4125,0.36467,0.45613
harvard,DB,1000,rising,gcc_mean,2012-04-20,2012-04-30,2012-05-08,2012-04-11,2012-04-29,2012-05-06,2012-04-24,2012-05-02,2012-05-09,0.37617,0.38946,0.41678,0.36684,0.46094
harvard,DB,1000,rising,gcc_mean,2013-04-27,2013-05-03,2013-05-10,2013-04-25,2013-05-02,2013-05-09,2013-04-29,2013-05-05,2013-05-11,0.37523,0.38908,0.41356,0.36652,0.45986
harvard,DB,1000,rising,gcc_mean,2014-05-05,2014-05-10,2014-05-17,2014-05-04,2014-05-09,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.37611,0.39007,0.42132,0.36773,0.4662
harvard,DB,1000,rising,gcc_mean,2015-04-29,2015-05-04,2015-05-11,2015-04-27,2015-05-03,2015-05-09,2015-05-02,2015-05-06,2015-05-12,0.37416,0.38689,0.41231,0.36691,0.4548
harvard,DB,1000,rising,gcc_mean,2016-05-04,2016-05-11,2016-05-17,2016-05-02,2016-05-10,2016-05-15,2016-05-07,2016-05-12,2016-05-18,0.3771,0.3928,0.42082,0.36882,0.4671
harvard,DB,1000,rising,gcc_mean,2017-05-01,2017-05-08,2017-05-15,2017-04-25,2017-05-07,2017-05-13,2017-05-04,2017-05-10,2017-05-16,0.3779,0.39232,0.42346,0.36828,0.47425
harvard,DB,1000,rising,gcc_mean,2018-05-01,2018-05-07,2018-05-14,2018-04-29,2018-05-06,2018-05-12,2018-05-04,2018-05-08,2018-05-15,0.3777,0.39265,0.42271,0.36946,0.46569
harvard,DB,1000,rising,gcc_mean,2019-05-04,2019-05-10,2019-05-18,2019-04-30,2019-05-09,2019-05-16,2019-05-07,2019-05-12,2019-05-19,0.37978,0.39298,0.42262,0.37096,0.46558
harvard,DB,1000,rising,gcc_mean,2020-05-11,2020-05-15,2020-05-21,2020-05-09,2020-05-14,2020-05-20,2020-05-13,2020-05-17,2020-05-22,0.37985,0.39119,0.41725,0.37161,0.46023
harvard,DB,1000,rising,gcc_mean,2021-05-03,2021-05-08,2021-05-15,2021-05-01,2021-05-07,2021-05-14,2021-05-05,2021-05-10,2021-05-16,0.3819,0.39403,0.42149,0.37321,0.46671
harvard,DB,1000,rising,gcc_mean,2022-05-04,2022-05-09,2022-05-15,2022-05-02,2022-05-08,2022-05-13,2022-05-07,2022-05-11,2022-05-16,0.37995,0.39132,0.41682,0.37238,0.45832
harvard,DB,1000,falling,gcc_90,2021-11-07,2021-11-03,2021-10-25,2021-11-08,2021-11-04,2021-10-28,2021-11-05,2021-11-01,2021-10-24,0.38534,0.39694,0.42361,0.37847,0.46582
harvard,DB,1000,falling,gcc_90,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.38924,0.40051,0.42354,0.38424,0.46047
harvard,DB,1000,falling,gcc_90,2019-10-22,2019-10-18,2019-10-12,2019-10-23,2019-10-19,2019-10-14,2019-10-19,2019-10-16,2019-10-11,0.38514,0.39931,0.424,0.37999,0.46349
harvard,DB,1000,falling,gcc_90,2018-11-06,2018-11-01,2018-10-22,2018-11-07,2018-11-03,2018-10-25,2018-11-03,2018-10-30,2018-10-20,0.38886,0.40322,0.42515,0.38375,0.46339
harvard,DB,1000,falling,gcc_90,2017-11-04,2017-10-30,2017-10-22,2017-11-05,2017-11-01,2017-10-24,2017-11-01,2017-10-28,2017-10-20,0.38742,0.40257,0.42535,0.3804,0.46928
harvard,DB,1000,falling,gcc_90,2016-10-29,2016-10-25,2016-10-18,2016-10-31,2016-10-26,2016-10-20,2016-10-27,2016-10-23,2016-10-16,0.38252,0.39545,0.41963,0.37374,0.46436
harvard,DB,1000,falling,gcc_90,2015-10-29,2015-10-25,2015-10-17,2015-10-31,2015-10-26,2015-10-20,2015-10-27,2015-10-23,2015-10-16,0.38757,0.39824,0.42287,0.37967,0.46115
harvard,DB,1000,falling,gcc_90,2014-10-21,2014-10-17,2014-10-11,2014-10-22,2014-10-18,2014-10-13,2014-10-19,2014-10-16,2014-10-10,0.38608,0.4001,0.42519,0.3785,0.46795
harvard,DB,1000,falling,gcc_90,2013-10-18,2013-10-13,2013-10-02,2013-10-19,2013-10-14,2013-10-05,2013-10-15,2013-10-11,2013-09-26,0.38787,0.40103,0.42352,0.38203,0.46464
harvard,DB,1000,falling,gcc_90,2012-10-21,2012-10-15,2012-10-07,2012-10-23,2012-10-16,2012-10-09,2012-10-18,2012-10-13,2012-10-05,0.38016,0.39296,0.41759,0.37304,0.46155
harvard,DB,1000,falling,gcc_90,2011-10-28,2011-10-22,2011-10-11,2011-10-29,2011-10-24,2011-10-14,2011-10-25,2011-10-20,2011-10-08,0.38731,0.40068,0.42142,0.38116,0.46068
harvard,DB,1000,falling,gcc_90,2010-10-17,2010-10-14,2010-10-06,2010-10-19,2010-10-15,2010-10-09,2010-10-15,2010-10-12,2010-10-05,0.38083,0.39094,0.41529,0.37332,0.45276
harvard,DB,1000,falling,gcc_90,2009-10-22,2009-10-18,2009-10-10,2009-10-23,2009-10-19,2009-10-13,2009-10-19,2009-10-16,2009-10-09,0.37828,0.39071,0.41632,0.37196,0.45683
harvard,DB,1000,falling,gcc_90,2008-10-22,2008-10-19,2008-10-13,2008-10-24,2008-10-20,2008-10-15,2008-10-20,2008-10-17,2008-10-12,0.3758,0.38776,0.41046,0.3684,0.45078
harvard,DB,1000,falling,gcc_75,2021-11-06,2021-11-02,2021-10-25,2021-11-07,2021-11-03,2021-10-27,2021-11-03,2021-10-31,2021-10-23,0.38491,0.39621,0.41955,0.37909,0.45928
harvard,DB,1000,falling,gcc_75,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.38555,0.39678,0.41938,0.38072,0.45617
harvard,DB,1000,falling,gcc_75,2019-10-22,2019-10-18,2019-10-12,2019-10-23,2019-10-19,2019-10-14,2019-10-19,2019-10-17,2019-10-11,0.38264,0.39634,0.42008,0.37759,0.45744
harvard,DB,1000,falling,gcc_75,2018-11-05,2018-11-01,2018-10-22,2018-11-07,2018-11-02,2018-10-25,2018-11-03,2018-10-30,2018-10-20,0.38827,0.39897,0.42039,0.38057,0.45924
harvard,DB,1000,falling,gcc_75,2017-11-03,2017-10-30,2017-10-22,2017-11-05,2017-10-31,2017-10-24,2017-11-01,2017-10-28,2017-10-21,0.3858,0.39844,0.42132,0.37818,0.46186
harvard,DB,1000,falling,gcc_75,2016-10-28,2016-10-24,2016-10-16,2016-10-29,2016-10-25,2016-10-18,2016-10-26,2016-10-22,2016-10-15,0.38271,0.39577,0.41886,0.37532,0.46055
harvard,DB,1000,falling,gcc_75,2015-10-26,2015-10-23,2015-10-17,2015-10-27,2015-10-24,2015-10-18,2015-10-24,2015-10-21,2015-10-16,0.38348,0.39475,0.41726,0.37809,0.45557
harvard,DB,1000,falling,gcc_75,2014-10-21,2014-10-17,2014-10-10,2014-10-22,2014-10-18,2014-10-13,2014-10-19,2014-10-15,2014-10-09,0.38362,0.3965,0.42181,0.3763,0.4623
